articulo;palabra;silaba_tonica;campo_semantico;color_campo;color_fondo;ejemplo;gramapop;combo1_estructura;combo1_ejemplo;combo2_estructura;combo2_ejemplo;combo3_estructura;combo3_ejemplo;EN;FR;PT;AL;PL;NL;GR;TR;CZ
—;blanco;BLAN-co;COLORES;#2A2A2A;#C4B5D4;Andrés tiene los dientes blancos.;blanco | blancos | blanca | blancas;ser + [color];Los dientes de Ana son blancos.;tener + el/la/los/las + [parte/objeto] + [color];Andrés tiene los dientes blancos.;me gusta(n) + el/la/los/las + [color];Me gusta el blanco.;WHITE;BLANC;BRANCO;WEISS;BIAŁY;WIT;ΛΕΥΚΌΣ;BEYAZ;BÍLÝ
—;negro;NE-gro;COLORES;#2A2A2A;#C4B5D4;Ana tiene el pelo negro.;negro | negros | negra | negras;ser + [color];El pelo de Ana es negro.;tener + el/la/los/las + [parte/objeto] + [color];Ana tiene el pelo negro.;me gusta(n) + el/la/los/las + [color];Me gusta el negro.;BLACK;NOIR;PRETO;SCHWARZ;CZARNY;ZWART;ΜΑΎΡΟΣ;SİYAH;ČERNÝ
—;rojo;RO-jo;COLORES;#2A2A2A;#C4B5D4;El monstruo tiene un ojo rojo.;rojo | rojos | roja | rojas;ser + [color];Sus labios son rojos.;tener + el/la/los/las + [parte/objeto] + [color];El monstruo tiene un ojo rojo.;me gusta(n) + el/la/los/las + [color];Me gusta el rojo.;RED;ROUGE;VERMELHO;ROT;CZERWONY;ROOD;ΚΌΚΚΙΝΟΣ;KIRMIZI;ČERVENÝ
—;amarillo;a-ma-RI-llo;COLORES;#2A2A2A;#C4B5D4;Las gafas del surfista son amarillas.;amarillo | amarillos | amarilla | amarillas;ser + [color];Las gafas del surfista son amarillas.;tener + el/la/los/las + [parte/objeto] + [color];Tiene las gafas amarillas.;me gusta(n) + el/la/los/las + [color];Me gusta el amarillo.;YELLOW;JAUNE;AMARELO;GELB;ŻÓŁTY;GEEL;ΚΊΤΡΙΝΟΣ;SARI;ŽLUTÝ
—;azul;a-ZUL;COLORES;#2A2A2A;#B8C8D8;Ana tiene los ojos azules.;azul | azules | Misma forma para masculino y femenino | Plural en -es;ser + [color];Los ojos de Ana son azules.;tener + el/la/los/las + [parte/objeto] + [color];Ana tiene los ojos azules.;me gusta(n) + el/la/los/las + [color];Me gusta el azul.;BLUE;BLEU;AZUL;BLAU;NIEBIESKI;BLAUW;ΜΠΛΕ;MAVİ;MODRÝ
—;marrón;ma-RRÓN;COLORES;#2A2A2A;#B8C8D8;Andrés tiene el pelo marrón.;marrón | marrones | Misma forma para masculino y femenino | Plural en -es (pierde la tilde gráfica);ser + [color];El pelo de Andrés es marrón.;tener + el/la/los/las + [parte/objeto] + [color];Andrés tiene el pelo marrón.;me gusta(n) + el/la/los/las + [color];Me gusta el marrón.;BROWN;MARRON;CASTANHO;BRAUN;BRĄZOWY;BRUIN;ΚΑΦΈ;KAHVERENGİ;HNĚDÝ
—;verde;VER-de;COLORES;#2A2A2A;#B8C8D8;El monstruo tiene los labios verdes.;verde | verdes | Misma forma para masculino y femenino;ser + [color];Sus labios son verdes.;tener + el/la/los/las + [parte/objeto] + [color];El monstruo tiene los labios verdes.;me gusta(n) + el/la/los/las + [color];Me gustan los verdes.;GREEN;VERT;VERDE;GRÜN;ZIELONY;GROEN;ΠΡΆΣΙΝΟΣ;YEŞİL;ZELENÝ
—;rosa;RO-sa;COLORES;#2A2A2A;#B8C8D8;La camiseta de Lucía es rosa.;rosa | rosas | Misma forma para masculino y femenino | También significa la flor;ser + [color];La camiseta de Lucía es rosa.;tener + el/la/los/las + [parte/objeto] + [color];Tiene una camiseta rosa.;me gusta(n) + el/la/los/las + [color];Me gusta el rosa.;PINK;ROSE;ROSA;ROSA;RÓŻOWY;ROZE;ΡΟΖ;PEMBE;RŮŽOVÝ
—;gris;gris;COLORES;#2A2A2A;#B8C8D8;El gato de Pablo es gris.;gris | grises | Misma forma para masculino y femenino | Plural en -es | Monosílabo: sin tilde;ser + [color];El gato es gris.;tener + el/la/los/las + [parte/objeto] + [color];Tiene el pelo gris.;me gusta(n) + el/la/los/las + [color];Me gusta el gris.;GREY;GRIS;CINZA;GRAU;SZARY;GRIJS;ΓΚΡΙ;GRİ;ŠEDÝ
—;naranja;na-RAN-ja;COLORES;#2A2A2A;#B8C8D8;Juanma lleva una camiseta naranja.;naranja | naranjas | Misma forma para masculino y femenino;ser + [color];La gorra es naranja.;tener + el/la/los/las + [parte/objeto] + [color];Juanma tiene una camiseta naranja.;me gusta(n) + el/la/los/las + [color];Me gusta el naranja.;ORANGE;ORANGE;LARANJA;ORANGE;POMARAŃCZOWY;ORANJE;ΠΟΡΤΟΚΑΛΊ;TURUNCU;ORANŽOVÝ
—;morado;mo-RA-do;COLORES;#2A2A2A;#C4B5D4;Marta tiene una sudadera morada.;morado | morados | morada | moradas;ser + [color];La sudadera es morada.;tener + el/la/los/las + [parte/objeto] + [color];Marta tiene una sudadera morada.;me gusta(n) + el/la/los/las + [color];Me gusta el morado.;PURPLE;VIOLET;ROXO;LILA;FIOLETOWY;PAARS;ΜΟΒ;MOR;FIALOVÝ
