articulo; palabra  ; silaba_tonica; campo_semantico ; color_campo; color_fondo; ejemplo                       ; gramapop                                                                    ; combo1_estructura     ; combo1_ejemplo     ; combo2_estructura                ; combo2_ejemplo             ; combo3_estructura                 ; combo3_ejemplo       ; EN        ; FR                 ; PT      ; AL            ; PL      ; NL     ; GR                 ; TR                ; CZ
el      ; portátil ; por-TÁ-til   ; Objetos de clase; #174859    ; #95CDEA    ; Tengo un portátil nuevo.      ; el/un portátil | los/unos portátiles | Plural en -es                        ; tener + un + [objeto] ; Tengo un portátil. ; usar + el + [objeto]             ; Uso el portátil.           ; abrir + el + [objeto]             ; Abrid el portátil.   ; laptop    ; ordinateur portable; notebook; Laptop        ; laptop  ; laptop ; φορητός υπολογιστής; dizüstü bilgisayar; notebook
la      ; mochila  ; mo-CHI-la    ; Objetos de clase; #174859    ; #EAA095    ; La mochila es roja.           ; la/una mochila | las/unas mochilas                                          ; tener + una + [objeto]; Tengo una mochila. ; el/la + [objeto] + es + [color]  ; La mochila es roja.        ; un/una + [objeto] + nuevo/a       ; Una mochila nueva.   ; backpack  ; sac à dos          ; mochila ; Rucksack      ; plecak  ; rugzak ; σακίδιο            ; sırt çantası      ; batoh
el      ; cuaderno ; cua-DER-no   ; Objetos de clase; #174859    ; #95CDEA    ; El cuaderno de Matemáticas.   ; el/un cuaderno | los/unos cuadernos                                         ; tener + un + [objeto] ; Tengo un cuaderno. ; el/la + [objeto] + de + [materia]; El cuaderno de Matemáticas.; abrir + el + [objeto]             ; Abrid el cuaderno.   ; notebook  ; cahier             ; caderno ; Heft          ; zeszyt  ; schrift; τετράδιο           ; defter            ; sešit
el      ; lápiz    ; LÁ-piz       ; Objetos de clase; #174859    ; #95CDEA    ; El lápiz es amarillo.         ; el/un lápiz | los/unos lápices | Plural irregular: lápices (la z cambia a c); tener + un + [objeto] ; Tengo un lápiz.    ; el/la + [objeto] + es + [color]  ; El lápiz es amarillo.      ; un/una + [objeto] + nuevo/a       ; Un lápiz nuevo.      ; pencil    ; crayon             ; lápis   ; Bleistift     ; ołówek  ; potlood; μολύβι             ; kurşun kalem      ; tužka
la      ; pizarra  ; pi-ZA-rra    ; Objetos de clase; #174859    ; #EAA095    ; La pizarra es grande.         ; la/una pizarra | las/unas pizarras                                          ; hay + una + [objeto]  ; Hay una pizarra.   ; mirar + la + [objeto]            ; Mirad la pizarra.          ; el/la + [objeto] + es + [cualidad]; La pizarra es grande.; blackboard; tableau            ; quadro  ; Tafel         ; tablica ; bord   ; πίνακας            ; tahta             ; tabule
la      ; silla    ; SI-lla       ; Objetos de clase; #174859    ; #EAA095    ; La silla del aula es nueva.   ; la/una silla | las/unas sillas                                              ; hay + una + [objeto]  ; Hay una silla.     ; el/la + [objeto] + es + [color]  ; La silla es marrón.        ; el/la + [objeto] + de + [lugar]   ; La silla del aula.   ; chair     ; chaise             ; cadeira ; Stuhl         ; krzesło ; stoel  ; καρέκλα            ; sandalye          ; židle
el      ; bolígrafo; bo-LÍ-gra-fo ; Objetos de clase; #174859    ; #95CDEA    ; Tengo un bolígrafo azul.      ; el/un bolígrafo | los/unos bolígrafos                                       ; tener + un + [objeto] ; Tengo un bolígrafo.; el/la + [objeto] + es + [color]  ; El bolígrafo es azul.      ; un/una + [objeto] + nuevo/a       ; Un bolígrafo nuevo.  ; pen       ; stylo              ; caneta  ; Kugelschreiber; długopis; pen    ; στυλό              ; tükenmez kalem    ; propiska
el      ; libro    ; LI-bro       ; Objetos de clase; #174859    ; #95CDEA    ; El libro de español.          ; el/un libro | los/unos libros                                               ; tener + un + [objeto] ; Tengo un libro.    ; el/la + [objeto] + de + [materia]; El libro de español.       ; abrir + el + [objeto]             ; Abrid el libro.      ; book      ; livre              ; livro   ; Buch          ; książka ; boek   ; βιβλίο             ; kitap             ; kniha
la      ; mesa     ; ME-sa        ; Objetos de clase; #174859    ; #EAA095    ; La mesa de la clase es grande.; la/una mesa | las/unas mesas                                                ; hay + una + [objeto]  ; Hay una mesa.      ; el/la + [objeto] + de + [lugar]  ; La mesa de la clase.       ; el/la + [objeto] + es + [cualidad]; La mesa es grande.   ; table     ; table              ; mesa    ; Tisch         ; stół    ; tafel  ; τραπέζι            ; masa              ; stůl
la      ; tableta  ; ta-BLE-ta    ; Objetos de clase; #174859    ; #EAA095    ; Tengo una tableta nueva.      ; la/una tableta | las/unas tabletas                                          ; tener + una + [objeto]; Tengo una tableta. ; usar + la + [objeto]             ; Uso la tableta.            ; un/una + [objeto] + nuevo/a       ; Una tableta nueva.   ; tablet    ; tablette           ; tablet  ; Tablet        ; tablet  ; tablet ; τάμπλετ            ; tablet            ; tablet
