articulo; palabra           ; silaba_tonica          ; campo_semantico; color_campo; color_fondo; ejemplo                                ; gramapop                                                                                                     ; combo1_estructura            ; combo1_ejemplo                         ; combo2_estructura            ; combo2_ejemplo                                  ; combo3_estructura            ; combo3_ejemplo                                    ; EN                ; FR                 ; PT                ; AL                   ; PL                 ; NL                    ; GR                  ; TR             ; CZ
—       ; Biología          ; bio-lo-GÍ-a            ; Asignaturas    ; #C92A4F    ; #EAA095    ; Estudio Biología en el instituto.      ; Biología | Femenino · nombre propio · siempre en mayúscula · no se usa en plural                             ; tener + [asignatura]         ; Tengo Biología los lunes.              ; estudiar + [asignatura]      ; Estudio Biología en el instituto.               ; me gusta(n) + [asignatura(s)]; Me gusta la Biología.                             ; biology           ; biologie           ; biologia          ; Biologie             ; biologia           ; biologie              ; βιολογία            ; biyoloji       ; biologie
—       ; Ciencias Naturales; CIEN-cias na-tu-RA-les ; Asignaturas    ; #C92A4F    ; #EAA095    ; Tengo Ciencias Naturales por la mañana.; Ciencias Naturales | Femenino · nombre propio · siempre en mayúscula · solo en plural                        ; tener + [asignatura]         ; Tengo Ciencias Naturales por la mañana.; tener clase de + [asignatura]; Tengo clase de Ciencias Naturales a las nueve.  ; repasar + [asignatura]       ; Repaso Ciencias Naturales antes del examen.       ; natural sciences  ; sciences naturelles; ciências naturais ; Naturwissenschaften  ; nauki przyrodnicze ; natuurwetenschappen   ; φυσικές επιστήμες   ; doğa bilimleri ; přírodní vědy
—       ; Ciencias Sociales ; CIEN-cias so-CIA-les   ; Asignaturas    ; #C92A4F    ; #EAA095    ; Estudio Ciencias Sociales en clase.    ; Ciencias Sociales | Femenino · nombre propio · siempre en mayúscula · solo en plural                         ; estudiar + [asignatura]      ; Estudio Ciencias Sociales en clase.    ; me gusta(n) + [asignatura(s)]; Me gustan las Ciencias Sociales.                ; tener clase de + [asignatura]; Tengo clase de Ciencias Sociales hoy.             ; social sciences   ; sciences sociales  ; ciências sociais  ; Sozialwissenschaften ; nauki społeczne    ; sociale wetenschappen ; κοινωνικές επιστήμες; sosyal bilimler; společenské vědy
—       ; Educación Física  ; e-du-ca-CIÓN FÍ-si-ca  ; Asignaturas    ; #C92A4F    ; #EAA095    ; Tengo Educación Física los jueves.     ; Educación Física | Femenino · nombre propio · siempre en mayúscula · no se usa en plural                     ; tener + [asignatura]         ; Tengo Educación Física los jueves.     ; estudiar + [asignatura]      ; Estudio Educación Física por la tarde.          ; repasar + [asignatura]       ; Repaso Educación Física los fines de semana.      ; physical education; éducation physique ; educação física   ; Sportunterricht      ; wychowanie fizyczne; lichamelijke opvoeding; φυσική αγωγή        ; beden eğitimi  ; tělesná výchova
—       ; Educación Plástica; e-du-ca-CIÓN PLÁS-ti-ca; Asignaturas    ; #C92A4F    ; #EAA095    ; Me gusta la Educación Plástica.        ; Educación Plástica | Femenino · nombre propio · siempre en mayúscula · no se usa en plural                   ; me gusta(n) + [asignatura(s)]; Me gusta la Educación Plástica.        ; tener clase de + [asignatura]; Tengo clase de Educación Plástica los miércoles.; repasar + [asignatura]       ; Repaso Educación Plástica en casa.                ; art               ; arts plastiques    ; educação artística; Kunsterziehung       ; plastyka           ; beeldende vorming     ; καλλιτεχνική αγωγή  ; resim          ; výtvarná výchova
—       ; Español           ; es-pa-ÑOL              ; Asignaturas    ; #C92A4F    ; #95CDEA    ; Tengo Español a las nueve.             ; Español | Masculino · nombre propio · siempre en mayúscula · no se usa en plural                             ; tener + [asignatura]         ; Tengo Español a las nueve.             ; me gusta(n) + [asignatura(s)]; Me gusta el Español.                            ; tener clase de + [asignatura]; Tengo clase de Español a las diez.                ; Spanish           ; espagnol           ; espanhol          ; Spanisch             ; hiszpański         ; Spaans                ; ισπανικά            ; İspanyolca     ; španělština
—       ; Francés           ; fran-CÉS               ; Asignaturas    ; #C92A4F    ; #95CDEA    ; Estudio Francés en la academia.        ; Francés | Masculino · nombre propio · siempre en mayúscula · no se usa en plural                             ; estudiar + [asignatura]      ; Estudio Francés en la academia.        ; tener clase de + [asignatura]; Tengo clase de Francés mañana.                  ; repasar + [asignatura]       ; Repaso Francés con mi amigo.                      ; French            ; français           ; francês           ; Französisch          ; francuski          ; Frans                 ; γαλλικά             ; Fransızca      ; francouzština
—       ; Historia          ; his-TO-ria             ; Asignaturas    ; #C92A4F    ; #EAA095    ; Tengo Historia mañana.                 ; Historia | Femenino · nombre propio · siempre en mayúscula · no se usa en plural                             ; tener + [asignatura]         ; Tengo Historia mañana.                 ; estudiar + [asignatura]      ; Estudio Historia con mi amigo.                  ; tener clase de + [asignatura]; Tengo clase de Historia los lunes.                ; history           ; histoire           ; história          ; Geschichte           ; historia           ; geschiedenis          ; ιστορία             ; tarih          ; dějepis
—       ; Informática       ; in-for-MÁ-ti-ca        ; Asignaturas    ; #C92A4F    ; #EAA095    ; Estudio Informática en casa.           ; Informática | Femenino · nombre propio · siempre en mayúscula · no se usa en plural                          ; estudiar + [asignatura]      ; Estudio Informática en casa.           ; me gusta(n) + [asignatura(s)]; Me gusta la Informática.                        ; repasar + [asignatura]       ; Repaso Informática para el examen.                ; computer science  ; informatique       ; informática       ; Informatik           ; informatyka        ; informatica           ; πληροφορική         ; bilişim        ; informatika
—       ; Inglés            ; in-GLÉS                ; Asignaturas    ; #C92A4F    ; #95CDEA    ; Tengo Inglés los martes.               ; Inglés | Masculino · nombre propio · siempre en mayúscula · no se usa en plural                              ; tener + [asignatura]         ; Tengo Inglés los martes.               ; me gusta(n) + [asignatura(s)]; Me gusta el Inglés.                             ; repasar + [asignatura]       ; Repaso Inglés todos los días.                     ; English           ; anglais            ; inglês            ; Englisch             ; angielski          ; Engels                ; αγγλικά             ; İngilizce      ; angličtina
—       ; Lengua            ; LEN-gua                ; Asignaturas    ; #C92A4F    ; #EAA095    ; Tengo Lengua hoy.                      ; Lengua | Femenino · nombre propio · siempre en mayúscula · no se usa en plural · se refiere a Lengua española; tener + [asignatura]         ; Tengo Lengua hoy.                      ; tener clase de + [asignatura]; Tengo clase de Lengua a las once.               ; repasar + [asignatura]       ; Repaso Lengua para el examen.                     ; Spanish language  ; langue             ; língua            ; Spanisch (Sprachfach); język polski       ; taal                  ; γλώσσα              ; dil            ; jazyk
—       ; Matemáticas       ; ma-te-MÁ-ti-cas        ; Asignaturas    ; #C92A4F    ; #EAA095    ; Estudio Matemáticas todos los días.    ; Matemáticas | Femenino · nombre propio · siempre en mayúscula · solo en plural                               ; estudiar + [asignatura]      ; Estudio Matemáticas todos los días.    ; me gusta(n) + [asignatura(s)]; Me gustan las Matemáticas.                      ; tener clase de + [asignatura]; Tengo clase de Matemáticas tres veces a la semana.; mathematics       ; mathématiques      ; matemática        ; Mathematik           ; matematyka         ; wiskunde              ; μαθηματικά          ; matematik      ; matematika
—       ; Música            ; MÚ-si-ca               ; Asignaturas    ; #C92A4F    ; #EAA095    ; Tengo Música los viernes.              ; Música | Femenino · nombre propio · siempre en mayúscula · no se usa en plural                               ; tener + [asignatura]         ; Tengo Música los viernes.              ; estudiar + [asignatura]      ; Estudio Música por la tarde.                    ; me gusta(n) + [asignatura(s)]; Me gusta la Música.                               ; music             ; musique            ; música            ; Musik                ; muzyka             ; muziek                ; μουσική             ; müzik          ; hudba
