articulo; palabra               ; silaba_tonica                ; campo_semantico                   ; color_campo; color_fondo; ejemplo                                       ; gramapop                                                                                                          ; combo1_estructura           ; combo1_ejemplo                              ; combo2_estructura              ; combo2_ejemplo                                  ; combo3_estructura     ; combo3_ejemplo                                    ; EN                            ; FR                    ; PT                           ; AL                       ; PL                  ; NL                       ; GR                                  ; TR                 ; CZ
el      ; instituto             ; ins-ti-TU-to                 ; Centros e instituciones educativas; #355B45    ; #95CDEA    ; Mi hermano estudia en el instituto.           ; el/un instituto | los/unos institutos                                                                             ; estar en + [lugar]          ; Estoy en el instituto.                      ; ir a + [lugar]                 ; Voy al instituto todos los días.                ; hay + un/a + [lugar]  ; Hay un instituto cerca de mi casa.                ; secondary school              ; lycée                 ; escola secundária            ; Gymnasium                ; liceum              ; middelbare school        ; γυμνάσιο                            ; lise               ; gymnázium
el      ; colegio               ; co-LE-gio                    ; Centros e instituciones educativas; #355B45    ; #95CDEA    ; Mi hermana va al colegio en bus.              ; el/un colegio | los/unos colegios                                                                                 ; estar en + [lugar]          ; Mi hermana está en el colegio.              ; ir a + [lugar]                 ; Voy al colegio en bus.                          ; hay + un/a + [lugar]  ; En mi barrio hay un colegio.                      ; primary school                ; école                 ; escola                       ; Schule                   ; szkoła              ; school                   ; σχολείο                             ; okul               ; škola
la      ; cafetería             ; ca-fe-te-RÍ-a                ; Centros e instituciones educativas; #355B45    ; #EAA095    ; En el recreo voy a la cafetería.              ; la/una cafetería | las/unas cafeterías                                                                            ; estar en + [lugar]          ; Estoy en la cafetería.                      ; ir a + [lugar]                 ; Voy a la cafetería en el recreo.                ; hay + un/a + [lugar]  ; En mi instituto hay una cafetería.                ; cafeteria                     ; cafétéria             ; cafeteria                    ; Cafeteria                ; stołówka            ; kantine                  ; καφετέρια                           ; kafeterya          ; kavárna
el      ; aula                  ; AU-la                        ; Centros e instituciones educativas; #355B45    ; #EAA095    ; Mi aula está en el segundo piso.              ; el/un aula | las/unas aulas | Femenino · artículo masculino en singular por a- tónica                             ; estar en + [lugar]          ; Estoy en el aula de Música.                 ; ir a + [lugar]                 ; Voy al aula 5.                                  ; hay + un/a + [lugar]  ; En el instituto hay un aula de Informática.       ; classroom                     ; salle de classe       ; sala de aula                 ; Klassenzimmer            ; sala lekcyjna       ; klaslokaal               ; αίθουσα                             ; sınıf              ; třída
la      ; biblioteca            ; bi-blio-TE-ca                ; Centros e instituciones educativas; #355B45    ; #EAA095    ; Hago los deberes en la biblioteca.            ; la/una biblioteca | las/unas bibliotecas                                                                          ; estar en + [lugar]          ; Estoy en la biblioteca.                     ; ir a + [lugar]                 ; Voy a la biblioteca después de clase.           ; hay + un/a + [lugar]  ; En mi colegio hay una biblioteca.                 ; library                       ; bibliothèque          ; biblioteca                   ; Bibliothek               ; biblioteka          ; bibliotheek              ; βιβλιοθήκη                          ; kütüphane          ; knihovna
la      ; clase                 ; CLA-se                       ; Centros e instituciones educativas; #355B45    ; #EAA095    ; Tengo clase de Matemáticas a las nueve.       ; la/una clase | las/unas clases                                                                                    ; tener + [evento]            ; Tengo clase a las nueve.                    ; ir a + [evento]                ; Voy a clase con mis amigos.                     ; estar en + [evento]   ; Estoy en clase.                                   ; class                         ; cours                 ; aula                         ; Unterricht               ; lekcja              ; les                      ; μάθημα                              ; ders               ; hodina
el      ; recreo                ; re-CRE-o                     ; Centros e instituciones educativas; #355B45    ; #95CDEA    ; En el recreo hablo con mis amigos.            ; el/un recreo | los/unos recreos                                                                                   ; tener + [evento]            ; Tenemos recreo a las once.                  ; ir a + [evento]                ; Voy al recreo con mis compañeros.               ; estar en + [evento]   ; Estamos en el recreo.                             ; break                         ; récréation            ; recreio                      ; Pause                    ; przerwa             ; pauze                    ; διάλειμμα                           ; teneffüs           ; přestávka
el/la   ; estudiante            ; es-tu-DIAN-te                ; Centros e instituciones educativas; #355B45    ; #B8C8D8    ; Sara es estudiante de Bachillerato.           ; el/la/un/una estudiante | los/las/unos/unas estudiantes | Misma forma para masculino y femenino                   ; ser + [persona]             ; Sara es estudiante de Bachillerato.         ; tener un/a + [persona]         ; Tengo dos estudiantes nuevos en mi clase.       ; hablar con + [persona]; Hablo con los estudiantes del intercambio.        ; student                       ; étudiant              ; estudante                    ; Schüler                  ; uczeń               ; student                  ; μαθητής                             ; öğrenci            ; student
el      ; alumno                ; a-LUM-no                     ; Centros e instituciones educativas; #355B45    ; #C4B5D4    ; David es un alumno aplicado.                  ; el/un alumno | los/unos alumnos | la/una alumna | las/unas alumnas                                                ; ser + [persona]             ; David es alumno del instituto.              ; tener un/a + [persona]         ; Mi profesora tiene 30 alumnos.                  ; hablar con + [persona]; El director habla con los alumnos nuevos.         ; pupil                         ; élève                 ; aluno                        ; Schüler                  ; uczeń               ; leerling                 ; μαθητής                             ; öğrenci            ; žák
el      ; tutor                 ; tu-TOR                       ; Centros e instituciones educativas; #355B45    ; #C4B5D4    ; Mi tutora es muy simpática.                   ; el/un tutor | los/unos tutores | la/una tutora | las/unas tutoras | Plural masculino en -es                       ; ser + [persona]             ; Carlos es mi tutor.                         ; tener un/a + [persona]         ; Tengo una tutora muy buena.                     ; hablar con + [persona]; Hablo con mi tutora cada semana.                  ; form teacher                  ; tuteur                ; tutor                        ; Klassenlehrer            ; wychowawca          ; mentor                   ; υπεύθυνος τάξης                     ; sınıf öğretmeni    ; třídní učitel
el      ; director              ; di-rec-TOR                   ; Centros e instituciones educativas; #355B45    ; #C4B5D4    ; La directora del colegio se llama Carmen.     ; el/un director | los/unos directores | la/una directora | las/unas directoras | Plural masculino en -es           ; ser + [persona]             ; La señora García es la directora.           ; tener un/a + [persona]         ; Tengo un director nuevo este año.               ; hablar con + [persona]; Hablo con el director si tengo un problema.       ; principal                     ; directeur             ; diretor                      ; Schulleiter              ; dyrektor            ; directeur                ; διευθυντής                          ; müdür              ; ředitel
el      ; compañero de clase    ; com-pa-ÑE-ro de CLA-se       ; Centros e instituciones educativas; #355B45    ; #C4B5D4    ; Marta es mi compañera de clase favorita.      ; el/un compañero de clase | los/unos compañeros de clase | la/una compañera de clase | las/unas compañeras de clase; ser + [persona]             ; Marta es mi compañera de clase.             ; tener un/a + [persona]         ; Tengo muchos compañeros de clase.               ; hablar con + [persona]; Hablo con mis compañeros de clase en el recreo.   ; classmate                     ; camarade de classe    ; colega de classe             ; Klassenkamerad           ; kolega z klasy      ; klasgenoot               ; συμμαθητής                          ; sınıf arkadaşı     ; spolužák
el      ; curso                 ; CUR-so                       ; Centros e instituciones educativas; #355B45    ; #95CDEA    ; Estoy en primer curso de la ESO.              ; el/un curso | los/unos cursos | Aquí significa año escolar                                                        ; estar en + [ordinal] + curso; Estoy en primer curso.                      ; hacer un curso (de + [materia]); Hago un curso de español.                       ; empezar + el curso    ; Empiezo el curso en septiembre.                   ; school year                   ; année scolaire        ; ano escolar                  ; Schuljahr                ; rok szkolny         ; schooljaar               ; σχολικό έτος                        ; eğitim yılı        ; školní rok
