articulo; palabra    ; silaba_tonica  ; campo_semantico; color_campo; color_fondo; ejemplo                                   ; gramapop                                             ; combo1_estructura                                        ; combo1_ejemplo                          ; combo2_estructura                                        ; combo2_ejemplo                      ; combo3_estructura                                        ; combo3_ejemplo                            ; EN             ; FR        ; PT              ; AL           ; PL       ; NL        ; GR         ; TR              ; CZ
la      ; ALFOMBRA   ; al-FOM-bra     ; MOBILIARIO     ; #4A1E14    ; #EAA095    ; La alfombra es roja.                      ; la/una alfombra | las/unas alfombras | Femenino      ; [objeto] + estar en + el/la + [parte de la casa]         ; La alfombra está en el salón-comedor.   ; el/la + [objeto] + es + [adjetivo descriptivo]           ; La alfombra es grande.              ; mi/tu/su + [objeto] + es + [cualidad]                    ; Mi alfombra es roja.                      ; RUG            ; TAPIS     ; TAPETE          ; TEPPICH      ; DYWAN    ; TAPIJT    ; ΧΑΛΙ       ; HALI            ; KOBEREC
el      ; ARMARIO    ; ar-MA-rio      ; MOBILIARIO     ; #4A1E14    ; #95CDEA    ; Tengo un armario en el dormitorio.        ; el/un armario | los/unos armarios | Masculino        ; tener + un/una + [objeto]                                ; Tengo un armario grande.                ; mi/tu/su + [objeto] + es + [cualidad]                    ; Mi armario es antiguo.              ; hay + un/una + [objeto] + en + el/la + [parte de la casa]; Hay un armario en el dormitorio.          ; WARDROBE       ; ARMOIRE   ; ARMÁRIO         ; SCHRANK      ; SZAFA    ; KAST      ; ΝΤΟΥΛΑΠΑ   ; DOLAP           ; SKŘÍŇ
la      ; BAÑERA     ; ba-ÑE-ra       ; MOBILIARIO     ; #4A1E14    ; #EAA095    ; La bañera está al lado del lavabo.        ; la/una bañera | las/unas bañeras | Femenino          ; [objeto1] + estar al lado de + el/la + [objeto2]         ; La bañera está al lado del lavabo.      ; [objeto] + estar en + el/la + [parte de la casa]         ; La bañera está en el cuarto de baño.; el/la + [objeto] + es + [adjetivo descriptivo]           ; La bañera es pequeña.                     ; BATHTUB        ; BAIGNOIRE ; BANHEIRA        ; BADEWANNE    ; WANNA    ; BADKUIP   ; ΜΠΑΝΙΕΡΑ   ; KÜVET           ; VANA
la      ; CAMA       ; CA-ma          ; MOBILIARIO     ; #4A1E14    ; #EAA095    ; Mi cama es grande.                        ; la/una cama | las/unas camas | Femenino              ; mi/tu/su + [objeto] + es + [cualidad]                    ; Mi cama es grande.                      ; hay + un/una + [objeto] + en + el/la + [parte de la casa]; Hay una cama en el dormitorio.      ; tener + un/una + [objeto]                                ; Tengo una cama nueva.                     ; BED            ; LIT       ; CAMA            ; BETT         ; ŁÓŻKO    ; BED       ; ΚΡΕΒΑΤΙ    ; YATAK           ; POSTEL
el      ; CUADRO     ; CUA-dro        ; MOBILIARIO     ; #4A1E14    ; #95CDEA    ; Hay un cuadro en el salón-comedor.        ; el/un cuadro | los/unos cuadros | Masculino          ; el/la + [objeto] + es + [adjetivo descriptivo]           ; El cuadro es antiguo.                   ; [objeto1] + estar al lado de + el/la + [objeto2]         ; El cuadro está al lado del espejo.  ; hay + un/una + [objeto] + en + el/la + [parte de la casa]; Hay un cuadro en el salón-comedor.        ; PICTURE        ; TABLEAU   ; QUADRO          ; BILD         ; OBRAZ    ; SCHILDERIJ; ΠΙΝΑΚΑΣ    ; TABLO           ; OBRAZ
la      ; DUCHA      ; DU-cha         ; MOBILIARIO     ; #4A1E14    ; #EAA095    ; La ducha está en el cuarto de baño.       ; la/una ducha | las/unas duchas | Femenino            ; [objeto] + estar en + el/la + [parte de la casa]         ; La ducha está en el cuarto de baño.     ; el/la + [objeto] + es + [adjetivo descriptivo]           ; La ducha es pequeña.                ; [objeto1] + estar al lado de + el/la + [objeto2]         ; La ducha está al lado de la bañera.       ; SHOWER         ; DOUCHE    ; CHUVEIRO        ; DUSCHE       ; PRYSZNIC ; DOUCHE    ; ΝΤΟΥΣ      ; DUŞ             ; SPRCHA
el      ; ESPEJO     ; es-PE-jo       ; MOBILIARIO     ; #4A1E14    ; #95CDEA    ; Hay un espejo en el recibidor.            ; el/un espejo | los/unos espejos | Masculino          ; [objeto1] + estar al lado de + el/la + [objeto2]         ; El espejo está al lado del lavabo.      ; [objeto] + estar en + el/la + [parte de la casa]         ; El espejo está en el cuarto de baño.; el/la + [objeto] + es + [adjetivo descriptivo]           ; El espejo es pequeño.                     ; MIRROR         ; MIROIR    ; ESPELHO         ; SPIEGEL      ; LUSTRO   ; SPIEGEL   ; ΚΑΘΡΕΦΤΗΣ  ; AYNA            ; ZRCADLO
la      ; ESTANTERÍA ; es-tan-te-RÍ-a ; MOBILIARIO     ; #4A1E14    ; #EAA095    ; Necesito una estantería para los libros.  ; la/una estantería | las/unas estanterías | Femenino  ; necesitar + un/una + [objeto]                            ; Necesito una estantería para los libros.; mi/tu/su + [objeto] + es + [cualidad]                    ; Mi estantería es grande.            ; tener + un/una + [objeto]                                ; Tengo una estantería en el dormitorio.    ; BOOKSHELF      ; ÉTAGÈRE   ; ESTANTE         ; REGAL        ; REGAŁ    ; BOEKENKAST; ΡΑΦΙΕΡΑ    ; RAF             ; REGÁL
el      ; FREGADERO  ; fre-ga-DE-ro   ; MOBILIARIO     ; #4A1E14    ; #95CDEA    ; El fregadero está al lado del frigorífico.; el/un fregadero | los/unos fregaderos | Masculino    ; el/la + [objeto] + es + [adjetivo descriptivo]           ; El fregadero es grande.                 ; [objeto] + estar en + el/la + [parte de la casa]         ; El fregadero está en la cocina.     ; [objeto1] + estar al lado de + el/la + [objeto2]         ; El fregadero está al lado del frigorífico.; KITCHEN SINK   ; ÉVIER     ; PIA             ; SPÜLE        ; ZLEW     ; GOOTSTEEN ; ΝΕΡΟΧΥΤΗΣ  ; EVYE            ; DŘEZ
el      ; FRIGORÍFICO; fri-go-RÍ-fi-co; MOBILIARIO     ; #4A1E14    ; #95CDEA    ; El frigorífico está en la cocina.         ; el/un frigorífico | los/unos frigoríficos | Masculino; tener + un/una + [objeto]                                ; Tengo un frigorífico grande.            ; el/la + [objeto] + es + [adjetivo descriptivo]           ; El frigorífico es grande.           ; [objeto] + estar en + el/la + [parte de la casa]         ; El frigorífico está en la cocina.         ; FRIDGE         ; FRIGO     ; GELADEIRA       ; KÜHLSCHRANK  ; LODÓWKA  ; KOELKAST  ; ΨΥΓΕΙΟ     ; BUZDOLABI       ; LEDNICE
el      ; LAVABO     ; la-VA-bo       ; MOBILIARIO     ; #4A1E14    ; #95CDEA    ; El lavabo está en el cuarto de baño.      ; el/un lavabo | los/unos lavabos | Masculino          ; [objeto] + estar en + el/la + [parte de la casa]         ; El lavabo está en el cuarto de baño.    ; [objeto1] + estar al lado de + el/la + [objeto2]         ; El lavabo está al lado de la bañera.; el/la + [objeto] + es + [adjetivo descriptivo]           ; El lavabo es pequeño.                     ; WASHBASIN      ; LAVABO    ; LAVATÓRIO       ; WASCHBECKEN  ; UMYWALKA ; WASTAFEL  ; ΝΙΠΤΗΡΑΣ   ; LAVABO          ; UMYVADLO
