articulo;palabra;silaba_tonica;campo_semantico;color_campo;color_fondo;ejemplo;gramapop;combo1_estructura;combo1_ejemplo;combo2_estructura;combo2_ejemplo;combo3_estructura;combo3_ejemplo;EN;FR;PT;AL;PL;NL;GR;TR;CZ
el;CENTRO COMERCIAL;CEN-tro co-mer-CIAL;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Voy al centro comercial con mis amigos.;el/un centro comercial | los/unos centros comerciales | Masculino;ir a + el/la + [establecimiento];Voy al centro comercial con mis amigos.;estar en + el/la + [establecimiento];Lorena está en el centro comercial.;hay + un/una + [establecimiento] + en + [lugar];Hay un centro comercial cerca de mi casa.;SHOPPING CENTRE;CENTRE COMMERCIAL;CENTRO COMERCIAL;EINKAUFSZENTRUM;CENTRUM HANDLOWE;WINKELCENTRUM;ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ;ALIŞVERİŞ MERKEZİ;OBCHODNÍ CENTRUM
la;ESTACIÓN DE TREN;es-ta-CIÓN de TREN;ESTABLECIMIENTOS;#8B3A62;#EAA095;La estación de tren está cerca del hotel.;la/una estación de tren | las/unas estaciones de tren | Femenino · plural en -es;ir a + el/la + [establecimiento];Voy a la estación de tren a las ocho.;el/la + [establecimiento] + es + [adjetivo descriptivo];La estación de tren es grande.;hay + un/una + [establecimiento] + en + [lugar];Hay una estación de tren en el centro.;TRAIN STATION;GARE;ESTAÇÃO DE TREM;BAHNHOF;DWORZEC KOLEJOWY;TREINSTATION;ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ ΣΤΑΘΜΟΣ;TREN İSTASYONU;VLAKOVÉ NÁDRAŽÍ
la;FARMACIA;far-MA-cia;ESTABLECIMIENTOS;#8B3A62;#EAA095;La farmacia está al lado del supermercado.;la/una farmacia | las/unas farmacias | Femenino;estar en + el/la + [establecimiento];Estoy en la farmacia.;hay + un/una + [establecimiento] + en + [lugar];Hay una farmacia enfrente del hotel.;ir a + el/la + [establecimiento];Voy a la farmacia por las tardes.;PHARMACY;PHARMACIE;FARMÁCIA;APOTHEKE;APTEKA;APOTHEEK;ΦΑΡΜΑΚΕΙΟ;ECZANE;LÉKÁRNA
la;IGLESIA;i-GLE-sia;ESTABLECIMIENTOS;#8B3A62;#EAA095;La iglesia está en el centro del pueblo.;la/una iglesia | las/unas iglesias | Femenino;estar en + el/la + [establecimiento];Mi abuela está en la iglesia.;el/la + [establecimiento] + es + [adjetivo descriptivo];La iglesia es antigua.;hay + un/una + [establecimiento] + en + [lugar];Hay una iglesia detrás del museo.;CHURCH;ÉGLISE;IGREJA;KIRCHE;KOŚCIÓŁ;KERK;ΕΚΚΛΗΣΙΑ;KİLİSE;KOSTEL
la;LIBRERÍA;li-bre-RÍ-a;ESTABLECIMIENTOS;#8B3A62;#EAA095;Hay una librería al lado del centro comercial.;la/una librería | las/unas librerías | Femenino;hay + un/una + [establecimiento] + en + [lugar];Hay una librería en mi barrio.;ir a + el/la + [establecimiento];Voy a la librería los sábados.;el/la + [establecimiento] + es + [adjetivo descriptivo];La librería es pequeña y bonita.;BOOKSHOP;LIBRAIRIE;LIVRARIA;BUCHHANDLUNG;KSIĘGARNIA;BOEKHANDEL;ΒΙΒΛΙΟΠΩΛΕΙΟ;KİTAPÇI;KNIHKUPECTVÍ
el;MUSEO;mu-SE-o;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Voy al museo con mis amigos.;el/un museo | los/unos museos | Masculino;ir a + el/la + [establecimiento];Voy al museo el domingo.;el/la + [establecimiento] + es + [adjetivo descriptivo];El museo es famoso.;estar en + el/la + [establecimiento];Katrina está en el museo.;MUSEUM;MUSÉE;MUSEU;MUSEUM;MUZEUM;MUSEUM;ΜΟΥΣΕΙΟ;MÜZE;MUZEUM
la;OFICINA DE CORREOS;o-fi-CI-na de co-RREOS;ESTABLECIMIENTOS;#8B3A62;#EAA095;La oficina de correos está enfrente del banco.;la/una oficina de correos | las/unas oficinas de correos | Femenino · "correos" siempre en plural;ir a + el/la + [establecimiento];Voy a la oficina de correos esta tarde.;estar en + el/la + [establecimiento];Mi padre está en la oficina de correos.;hay + un/una + [establecimiento] + en + [lugar];Hay una oficina de correos cerca.;POST OFFICE;BUREAU DE POSTE;CORREIO;POSTAMT;POCZTA;POSTKANTOOR;ΤΑΧΥΔΡΟΜΕΙΟ;POSTANE;POŠTA
la;PISCINA;pis-CI-na;ESTABLECIMIENTOS;#8B3A62;#EAA095;Voy a la piscina los miércoles.;la/una piscina | las/unas piscinas | Femenino;ir a + el/la + [establecimiento];Voy a la piscina con Rafa.;estar en + el/la + [establecimiento];Lucía está en la piscina.;el/la + [establecimiento] + es + [adjetivo descriptivo];La piscina es grande.;SWIMMING POOL;PISCINE;PISCINA;SCHWIMMBAD;BASEN;ZWEMBAD;ΠΙΣΙΝΑ;HAVUZ;BAZÉN
el;POLIDEPORTIVO;po-li-de-por-TI-vo;ESTABLECIMIENTOS;#8B3A62;#95CDEA;El polideportivo está al lado del instituto.;el/un polideportivo | los/unos polideportivos | Masculino;ir a + el/la + [establecimiento];Voy al polideportivo los lunes.;estar en + el/la + [establecimiento];Estoy en el polideportivo.;el/la + [establecimiento] + es + [adjetivo descriptivo];El polideportivo es nuevo.;SPORTS CENTRE;COMPLEXE SPORTIF;POLIDESPORTIVO;SPORTZENTRUM;HALA SPORTOWA;SPORTCENTRUM;ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ;SPOR KOMPLEKSİ;SPORTOVNÍ HALA
el;SUPERMERCADO;su-per-mer-CA-do;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Hay un supermercado entre la farmacia y el banco.;el/un supermercado | los/unos supermercados | Masculino;hay + un/una + [establecimiento] + en + [lugar];Hay un supermercado en mi barrio.;ir a + el/la + [establecimiento];Voy al supermercado los sábados.;estar en + el/la + [establecimiento];Mi madre está en el supermercado.;SUPERMARKET;SUPERMARCHÉ;SUPERMERCADO;SUPERMARKT;SUPERMARKET;SUPERMARKT;ΣΟΥΠΕΡΜΑΡΚΕΤ;SÜPERMARKET;SUPERMARKET
