articulo; palabra  ; silaba_tonica; campo_semantico; color_campo; color_fondo; ejemplo                                 ; gramapop                                                                          ; combo1_estructura        ; combo1_ejemplo                  ; combo2_estructura          ; combo2_ejemplo                ; combo3_estructura               ; combo3_ejemplo                   ; EN       ; FR         ; PT         ; AL        ; PL       ; NL         ; GR          ; TR         ; CZ
la      ; VACA     ; VA-ca        ; ANIMALES       ; #33414A    ; #EAA095    ; La vaca vive en el campo.               ; la/una vaca | las/unas vacas | Masculino: toro                                           ; hay + (un/una) + [animal]; En la granja hay muchas vacas.  ; vivir en + [lugar]         ; La vaca vive en el campo.     ; tener + (un/una) + [animal]     ; Mis abuelos tienen una vaca.     ; COW      ; VACHE      ; VACA       ; KUH       ; KROWA    ; KOE        ; ΑΓΕΛΑΔΑ     ; İNEK       ; KRÁVA
la      ; OVEJA    ; o-VE-ja      ; ANIMALES       ; #33414A    ; #EAA095    ; La oveja es un animal doméstico.        ; la/una oveja | las/unas ovejas | Masculino: carnero                                         ; hay + (un/una) + [animal]; En el campo hay ovejas.         ; comer + [comida]           ; La oveja come hierba.         ; tener + (un/una) + [animal]     ; Mi tío tiene diez ovejas.        ; SHEEP    ; MOUTON     ; OVELHA     ; SCHAF     ; OWCA     ; SCHAAP     ; ΠΡΟΒΑΤΟ     ; KOYUN      ; OVCE
la      ; GALLINA  ; ga-LLI-na    ; ANIMALES       ; #33414A    ; #EAA095    ; La gallina come maíz.                   ; la/una gallina | las/unas gallinas | Masculino: gallo                                     ; comer + [comida]         ; La gallina come maíz.           ; tener + (un/una) + [animal]; Mi abuela tiene gallinas.     ; me gusta(n) + (el/la) + [animal]; Me gustan las gallinas.          ; HEN      ; POULE      ; GALINHA    ; HENNE     ; KURA     ; KIP        ; ΚΟΤΑ        ; TAVUK      ; SLEPICE
el      ; CERDO    ; CER-do       ; ANIMALES       ; #33414A    ; #95CDEA    ; El cerdo come de todo.                  ; el/un cerdo | los/unos cerdos | Femenino: cerda                                         ; hay + (un/una) + [animal]; En la granja hay un cerdo.      ; comer + [comida]           ; El cerdo come de todo.        ; vivir en + [lugar]              ; El cerdo vive en la granja.      ; PIG      ; COCHON     ; PORCO      ; SCHWEIN   ; ŚWINIA   ; VARKEN     ; ΓΟΥΡΟΥΝΙ    ; DOMUZ      ; PRASE
el      ; CABALLO  ; ca-BA-llo    ; ANIMALES       ; #33414A    ; #95CDEA    ; El caballo y la yegua viven en el campo.; el/un caballo | los/unos caballos | Femenino: yegua                               ; vivir en + [lugar]       ; El caballo vive en el campo.    ; tener + (un/una) + [animal]; Lucía tiene un caballo.       ; me gusta(n) + (el/la) + [animal]; A Juan le gustan los caballos.   ; HORSE    ; CHEVAL     ; CAVALO     ; PFERD     ; KOŃ      ; PAARD      ; ΑΛΟΓΟ       ; AT         ; KŮŇ
el      ; LEÓN     ; le-ÓN        ; ANIMALES       ; #33414A    ; #95CDEA    ; El león es un animal salvaje.           ; el/un león | los/unos leones | Femenino: leona | Plural sin tilde: leones               ; hay + (un/una) + [animal]; En el zoo hay un león.          ; comer + [comida]           ; El león come carne.           ; me gusta(n) + (el/la) + [animal]; Me gusta el león.                ; LION     ; LION       ; LEÃO       ; LÖWE      ; LEW      ; LEEUW      ; ΛΙΟΝΤΑΡΙ    ; ASLAN      ; LEV
el      ; ELEFANTE ; e-le-FAN-te  ; ANIMALES       ; #33414A    ; #95CDEA    ; El elefante come hierba.                ; el/un elefante | los/unos elefantes | Femenino: elefanta                                   ; comer + [comida]         ; El elefante come hierba y fruta.; vivir en + [lugar]         ; El elefante vive en la selva. ; me gusta(n) + (el/la) + [animal]; Me gustan los elefantes.         ; ELEPHANT ; ÉLÉPHANT   ; ELEFANTE   ; ELEFANT   ; SŁOŃ     ; OLIFANT    ; ΕΛΕΦΑΝΤΑΣ   ; FİL        ; SLON
la      ; SERPIENTE; ser-PIEN-te  ; ANIMALES       ; #33414A    ; #EAA095    ; La serpiente no tiene patas.            ; la/una serpiente | las/unas serpientes | Femenino                                 ; hay + (un/una) + [animal]; En el zoo hay una serpiente.    ; vivir en + [lugar]         ; La serpiente vive en la selva.; tener + (un/una) + [animal]     ; Mi vecino tiene una serpiente.   ; SNAKE    ; SERPENT    ; SERPENTE   ; SCHLANGE  ; WĄŻ      ; SLANG      ; ΦΙΔΙ        ; YILAN      ; HAD
el      ; DELFÍN   ; del-FÍN      ; ANIMALES       ; #33414A    ; #95CDEA    ; El delfín vive en el mar.               ; el/un delfín | los/unos delfines | Masculino · plural sin tilde: delfines         ; hay + (un/una) + [animal]; En el mar hay delfines.         ; vivir en + [lugar]         ; El delfín vive en el mar.     ; me gusta(n) + (el/la) + [animal]; Me gusta mucho el delfín.        ; DOLPHIN  ; DAUPHIN    ; GOLFINHO   ; DELFIN    ; DELFIN   ; DOLFIJN    ; ΔΕΛΦΙΝΙ     ; YUNUS      ; DELFÍN
el      ; MONO     ; MO-no        ; ANIMALES       ; #33414A    ; #95CDEA    ; El mono come plátanos.                  ; el/un mono | los/unos monos | Femenino: mona                                           ; comer + [comida]         ; El mono come plátanos.          ; vivir en + [lugar]         ; El mono vive en la selva.     ; me gusta(n) + (el/la) + [animal]; A los niños les gustan los monos.; MONKEY   ; SINGE      ; MACACO     ; AFFE      ; MAŁPA    ; AAP        ; ΜΑΪΜΟΥ      ; MAYMUN     ; OPICE
