articulo;palabra;silaba_tonica;campo_semantico;color_campo;color_fondo;ejemplo;gramapop;combo1_estructura;combo1_ejemplo;combo2_estructura;combo2_ejemplo;combo3_estructura;combo3_ejemplo;EN;FR;PT;AL;PL;NL;GR;TR;CZ
—;ENERO;e-NE-ro;MESES DEL AÑO;#6B1F2E;#95CDEA;El Año Nuevo es el 1 de enero.;enero | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];Mi cumpleaños es en enero.;el + [número] + de + [mes];Los Reyes Magos son el 6 de enero.;en + [mes] + es + [estación];En enero es invierno.;JANUARY;JANVIER;JANEIRO;JANUAR;STYCZEŃ;JANUARI;ΙΑΝΟΥΑΡΙΟΣ;OCAK;LEDEN
—;FEBRERO;fe-BRE-ro;MESES DEL AÑO;#6B1F2E;#95CDEA;En febrero es invierno en España.;febrero | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];El cumpleaños de mi madre es en febrero.;en + [mes] + es + [estación];En febrero es invierno.;de + [mes] + a + [mes];El invierno es de diciembre a febrero.;FEBRUARY;FÉVRIER;FEVEREIRO;FEBRUAR;LUTY;FEBRUARI;ΦΕΒΡΟΥΑΡΙΟΣ;ŞUBAT;ÚNOR
—;MARZO;MAR-zo;MESES DEL AÑO;#6B1F2E;#95CDEA;El Día del Padre es el 19 de marzo.;marzo | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];La primavera empieza en marzo.;el + [número] + de + [mes];El Día del Padre es el 19 de marzo.;de + [mes] + a + [mes];La primavera es de marzo a mayo.;MARCH;MARS;MARÇO;MÄRZ;MARZEC;MAART;ΜΑΡΤΙΟΣ;MART;BŘEZEN
—;ABRIL;a-BRIL;MESES DEL AÑO;#6B1F2E;#95CDEA;En abril es primavera.;abril | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];En abril hay vacaciones.;en + [mes] + es + [estación];En abril es primavera.;de + [mes] + a + [mes];Las clases son de abril a junio.;APRIL;AVRIL;ABRIL;APRIL;KWIECIEŃ;APRIL;ΑΠΡΙΛΙΟΣ;NİSAN;DUBEN
—;MAYO;MA-yo;MESES DEL AÑO;#6B1F2E;#95CDEA;El Día de la Madre es en mayo.;mayo | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];El Día de la Madre es en mayo.;el + [número] + de + [mes];Mi cumpleaños es el 10 de mayo.;en + [mes] + es + [estación];En mayo es primavera.;MAY;MAI;MAIO;MAI;MAJ;MEI;ΜΑΪΟΣ;MAYIS;KVĚTEN
—;JUNIO;JU-nio;MESES DEL AÑO;#6B1F2E;#95CDEA;El curso escolar termina en junio.;junio | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];Las clases terminan en junio.;el + [número] + de + [mes];El verano empieza el 21 de junio.;de + [mes] + a + [mes];El verano es de junio a agosto.;JUNE;JUIN;JUNHO;JUNI;CZERWIEC;JUNI;ΙΟΥΝΙΟΣ;HAZİRAN;ČERVEN
—;JULIO;JU-lio;MESES DEL AÑO;#6B1F2E;#95CDEA;En julio es verano.;julio | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];En julio no hay colegio.;en + [mes] + es + [estación];En julio es verano.;de + [mes] + a + [mes];Las vacaciones son de julio a agosto.;JULY;JUILLET;JULHO;JULI;LIPIEC;JULI;ΙΟΥΛΙΟΣ;TEMMUZ;ČERVENEC
—;AGOSTO;a-GOS-to;MESES DEL AÑO;#6B1F2E;#95CDEA;En agosto no hay clases.;agosto | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];En agosto no hay clases.;en + [mes] + es + [estación];En agosto es verano.;de + [mes] + a + [mes];Mis abuelos viajan de agosto a septiembre.;AUGUST;AOÛT;AGOSTO;AUGUST;SIERPIEŃ;AUGUSTUS;ΑΥΓΟΥΣΤΟΣ;AĞUSTOS;SRPEN
—;SEPTIEMBRE;sep-TIEM-bre;MESES DEL AÑO;#6B1F2E;#95CDEA;El curso empieza en septiembre.;septiembre | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];Las clases empiezan en septiembre.;el + [número] + de + [mes];Mi cumpleaños es el 3 de septiembre.;de + [mes] + a + [mes];El otoño es de septiembre a noviembre.;SEPTEMBER;SEPTEMBRE;SETEMBRO;SEPTEMBER;WRZESIEŃ;SEPTEMBER;ΣΕΠΤΕΜΒΡΙΟΣ;EYLÜL;ZÁŘÍ
—;OCTUBRE;oc-TU-bre;MESES DEL AÑO;#6B1F2E;#95CDEA;La Fiesta Nacional de España es el 12 de octubre.;octubre | Masculino · se escribe en minúscula · no se usa en plural;en + [mes];En octubre es la Fiesta Nacional.;el + [número] + de + [mes];La Fiesta Nacional es el 12 de octubre.;de + [mes] + a + [mes];Mi familia viaja de octubre a noviembre.;OCTOBER;OCTOBRE;OUTUBRO;OKTOBER;PAŹDZIERNIK;OKTOBER;ΟΚΤΩΒΡΙΟΣ;EKİM;ŘÍJEN
