articulo; palabra ; silaba_tonica; campo_semantico  ; color_campo; color_fondo; ejemplo                                   ; gramapop                                                    ; combo1_estructura                              ; combo1_ejemplo                      ; combo2_estructura                                                ; combo2_ejemplo                          ; combo3_estructura                                                ; combo3_ejemplo                          ; EN       ; FR               ; PT      ; AL           ; PL              ; NL     ; GR        ; TR     ; CZ
la      ; cabeza  ; ca-BE-za     ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; El monstruo tiene una cabeza enorme.      ; la/una cabeza | las/unas cabezas                            ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene la cabeza pequeña.        ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duele la cabeza.                     ; tener dolor de + [parte]                                         ; Tengo dolor de cabeza.                  ; HEAD     ; TÊTE             ; CABEÇA  ; KOPF         ; GŁOWA           ; HOOFD  ; ΚΕΦΆΛΙ    ; KAFA   ; HLAVA
el      ; cuello  ; CUE-llo      ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Ana tiene el cuello largo.                ; el/un cuello | los/unos cuellos                             ; tener + (el/la/los/las) + [parte] + [adj/color]; Andrés tiene el cuello corto.       ; el/la/los/las + [parte] + de + [persona]                         ; El cuello de Ana es delgado.            ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duele el cuello.                     ; NECK     ; COU              ; PESCOÇO ; HALS         ; SZYJA           ; NEK    ; ΛΑΙΜΌΣ    ; BOYUN  ; KRK
el      ; pecho   ; PE-cho       ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Le duele el pecho.                        ; el/un pecho | los/unos pechos                               ; tener + (el/la/los/las) + [parte] + [adj/color]; Tiene el pecho grande.              ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duele el pecho.                      ; tener dolor de + [parte]                                         ; Tengo dolor de pecho.                   ; CHEST    ; POITRINE         ; PEITO   ; BRUST        ; KLATKA PIERSIOWA; BORST  ; ΣΤΉΘΟΣ    ; GÖĞÜS  ; HRUDNÍK
la      ; mano    ; MA-no        ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; El monstruo tiene las manos muy pequeñas. ; la/una mano | las/unas manos | Femenino aunque termina en -o; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene las manos pequeñas.       ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan las manos de Ana.             ; lavarse / cepillarse / peinarse + el/la/los/las + [parte]        ; Me lavo las manos antes de comer.       ; HAND     ; MAIN             ; MÃO     ; HAND         ; RĘKA            ; HAND   ; ΧΈΡΙ      ; EL     ; RUKA
el      ; dedo    ; DE-do        ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Tu mano tiene cinco dedos.                ; el/un dedo | los/unos dedos                                 ; el/la/los/las + [parte] + de + [persona]       ; Los dedos de la mano son cinco.     ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duelen los dedos.                    ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan los dedos largos.             ; FINGER   ; DOIGT            ; DEDO    ; FINGER       ; PALEC           ; VINGER ; ΔΆΧΤΥΛΟ   ; PARMAK ; PRST
el      ; pie     ; pie          ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; El surfista lleva el pie atado a la tabla.; el/un pie | los/unos pies | Monosílabo: sin tilde           ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene los pies pequeños.        ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duelen los pies.                     ; lavarse / cepillarse / peinarse + el/la/los/las + [parte]        ; Me lavo los pies.                       ; FOOT     ; PIED             ; PÉ      ; FUSS         ; STOPA           ; VOET   ; ΠΌΔΙ      ; AYAK   ; NOHA
la      ; pierna  ; PIER-na      ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Ana tiene las piernas largas.             ; la/una pierna | las/unas piernas                            ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene las piernas largas.       ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duelen las piernas.                  ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan las piernas largas.           ; LEG      ; JAMBE            ; PERNA   ; BEIN         ; NOGA            ; BEEN   ; ΠΌΔΙ      ; BACAK  ; NOHA
el      ; estómago; es-TÓ-ma-go  ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Tengo dolor de estómago.                 ; el/un estómago | los/unos estómagos                         ; el/la/los/las + [parte] + de + [persona]       ; El estómago de Ana está vacío.      ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duele el estómago.                   ; tener dolor de + [parte]                                         ; Tengo dolor de estómago.                ; STOMACH  ; ESTOMAC          ; ESTÔMAGO; MAGEN        ; ŻOŁĄDEK         ; MAAG   ; ΣΤΟΜΆΧΙ   ; MİDE   ; ŽALUDEK
la      ; espalda ; es-PAL-da    ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Ana tiene la espalda fuerte.              ; la/una espalda | las/unas espaldas                          ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene la espalda fuerte.        ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duele la espalda.                    ; tener dolor de + [parte]                                         ; Tengo dolor de espalda.                 ; BACK     ; DOS              ; COSTAS  ; RÜCKEN       ; PLECY           ; RUG    ; ΠΛΆΤΗ     ; SIRT   ; ZÁDA
el      ; brazo   ; BRA-zo       ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; El monstruo tiene dos brazos largos.      ; el/un brazo | los/unos brazos                               ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene los brazos cortos.        ; el/la/los/las + [parte] + de + [persona]                         ; El brazo del monstruo es muy largo.     ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan los brazos fuertes.           ; ARM      ; BRAS             ; BRAÇO   ; ARM          ; RAMIĘ           ; ARM    ; ΜΠΡΆΤΣΟ   ; KOL    ; PAŽE
la      ; rodilla ; ro-DI-lla    ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Ana tiene las rodillas fuertes.           ; la/una rodilla | las/unas rodillas                          ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene las rodillas fuertes.     ; el/la/los/las + [parte] + de + [persona]                         ; La rodilla de Andrés está sucia.        ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duelen las rodillas.                 ; KNEE     ; GENOU            ; JOELHO  ; KNIE         ; KOLANO          ; KNIE   ; ΓΌΝΑΤΟ    ; DİZ    ; KOLENO
el      ; pelo    ; PE-lo        ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Ana tiene el pelo rizado.                 ; el/un pelo | los/unos pelos | Habitualmente en singular     ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene el pelo rizado.           ; lavarse / cepillarse / peinarse + el/la/los/las + [parte]        ; Me peino el pelo cada mañana.           ; llevar + (el/la) + [parte] + ([adj])                             ; Andrés lleva el pelo corto.             ; HAIR     ; CHEVEUX          ; CABELO  ; HAAR         ; WŁOSY           ; HAAR   ; ΜΑΛΛΙΆ    ; SAÇ    ; VLASY
el      ; ojo     ; O-jo         ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Ana tiene los ojos azules.                ; el/un ojo | los/unos ojos                                   ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene los ojos azules.          ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan los ojos verdes.              ; llevar + (el/la) + [parte] + ([adj])                             ; Lleva los ojos pintados.                ; EYE      ; ŒIL              ; OLHO    ; AUGE         ; OKO             ; OOG    ; ΜΆΤΙ      ; GÖZ    ; OKO
la      ; oreja   ; o-RE-ja      ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Andrés tiene las orejas pequeñas.         ; la/una oreja | las/unas orejas                              ; tener + (el/la/los/las) + [parte] + [adj/color]; Andrés tiene las orejas pequeñas.   ; el/la/los/las + [parte] + de + [persona]                         ; Las orejas del surfista son muy grandes.; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan las orejas pequeñas.          ; EAR      ; OREILLE          ; ORELHA  ; OHR          ; UCHO            ; OOR    ; ΑΥΤΊ      ; KULAK  ; UCHO
la      ; nariz   ; na-RIZ       ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Andrés tiene la nariz pequeña.            ; la/una nariz | las/unas narices | Plural en -es (z → c)     ; tener + (el/la/los/las) + [parte] + [adj/color]; Andrés tiene la nariz pequeña.      ; el/la/los/las + [parte] + de + [persona]                         ; La nariz del surfista es grande.        ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gusta la nariz de Andrés.            ; NOSE     ; NEZ              ; NARIZ   ; NASE         ; NOS             ; NEUS   ; ΜΎΤΗ      ; BURUN  ; NOS
el      ; diente  ; DIEN-te      ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Me cepillo los dientes.                   ; el/un diente | los/unos dientes | Habitualmente en plural   ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene los dientes blancos.      ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duelen los dientes.                  ; lavarse / cepillarse / peinarse + el/la/los/las + [parte]        ; Me cepillo los dientes después de comer.; TOOTH    ; DENT             ; DENTE   ; ZAHN         ; ZĄB             ; TAND   ; ΔΌΝΤΙ     ; DİŞ    ; ZUB
la      ; muela   ; MUE-la       ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Me duelen las muelas.                     ; la/una muela | las/unas muelas | Habitualmente en plural    ; tener + (el/la/los/las) + [parte] + [adj/color]; Tiene cuatro muelas grandes.        ; doler + (a alguien) + el/la/los/las + [parte]                    ; Me duelen las muelas.                   ; tener dolor de + [parte]                                         ; Tengo dolor de muelas.                  ; MOLAR    ; MOLAIRE          ; MOLAR   ; BACKENZAHN   ; ZĄB TRZONOWY    ; KIES   ; ΤΡΑΠΕΖΊΤΗΣ; AZI DİŞ; STOLIČKA
el      ; labio   ; LA-bio       ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; El monstruo tiene los labios verdes.      ; el/un labio | los/unos labios | Habitualmente en plural     ; tener + (el/la/los/las) + [parte] + [adj/color]; El monstruo tiene los labios verdes.; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan los labios de Ana.            ; llevar + (el/la) + [parte] + ([adj])                             ; Lleva los labios pintados de rojo.      ; LIP      ; LÈVRE            ; LÁBIO   ; LIPPE        ; WARGA           ; LIP    ; ΧΕΊΛΟΣ    ; DUDAK  ; RET
la      ; boca    ; BO-ca        ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Andrés tiene la boca grande.              ; la/una boca | las/unas bocas                                ; tener + (el/la/los/las) + [parte] + [adj/color]; Andrés tiene la boca grande.        ; el/la/los/las + [parte] + de + [persona]                         ; La boca del monstruo es grande.         ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gusta la boca de Ana.                ; MOUTH    ; BOUCHE           ; BOCA    ; MUND         ; USTA            ; MOND   ; ΣΤΌΜΑ     ; AĞIZ   ; ÚSTA
la      ; cara    ; CA-ra        ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Andrés tiene la cara redonda.             ; la/una cara | las/unas caras                                ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene la cara simpática.        ; el/la/los/las + [parte] + de + [persona]                         ; La cara de Andrés es divertida.         ; lavarse / cepillarse / peinarse + el/la/los/las + [parte]        ; Me lavo la cara cada mañana.            ; FACE     ; VISAGE           ; CARA    ; GESICHT      ; TWARZ           ; GEZICHT; ΠΡΌΣΩΠΟ   ; YÜZ    ; OBLIČEJ
la      ; barba   ; BAR-ba       ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Tiene una barba larga y negra.            ; la/una barba | las/unas barbas                              ; tener + (el/la/los/las) + [parte] + [adj/color]; Tiene una barba larga y negra.      ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gusta la barba larga.                ; llevar + (el/la) + [parte] + ([adj])                             ; Lleva barba.                            ; BEARD    ; BARBE            ; BARBA   ; BART         ; BRODA           ; BAARD  ; ΓΈΝΕΙΑ    ; SAKAL  ; VOUSY
el      ; bigote  ; bi-GO-te     ; PARTES DEL CUERPO; #8E2D6F    ; #95CDEA    ; Tiene un bigote pequeño y negro.          ; el/un bigote | los/unos bigotes                             ; tener + (el/la/los/las) + [parte] + [adj/color]; Tiene un bigote pequeño y negro.    ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan los bigotes largos.           ; llevar + (el/la) + [parte] + ([adj])                             ; Lleva bigote.                           ; MOUSTACHE; MOUSTACHE        ; BIGODE  ; SCHNURRBART  ; WĄSY            ; SNOR   ; ΜΟΥΣΤΆΚΙ  ; BIYIK  ; KNÍR
la      ; peca    ; PE-ca        ; PARTES DEL CUERPO; #8E2D6F    ; #EAA095    ; Ana tiene muchas pecas.                   ; la/una peca | las/unas pecas | Habitualmente en plural      ; tener + (el/la/los/las) + [parte] + [adj/color]; Ana tiene muchas pecas.             ; el/la/los/las + [parte] + de + [persona]                         ; Las pecas de Ana son simpáticas.        ; gustar + (a alguien) + el/la/los/las + [parte] + (de + [persona]); Me gustan las pecas.                    ; FRECKLE  ; TACHE DE ROUSSEUR; SARDA   ; SOMMERSPROSSE; PIEG            ; SPROET ; ΦΑΚΊΔΑ    ; ÇİL    ; PIHA
