articulo;palabra;silaba_tonica;campo_semantico;color_campo;color_fondo;ejemplo;gramapop;combo1_estructura;combo1_ejemplo;combo2_estructura;combo2_ejemplo;combo3_estructura;combo3_ejemplo;EN;FR;PT;AL;PL;NL;GR;TR;CZ
el;abrigo;a-BRI-go;ROPA;#3D1A2E;#95CDEA;El abrigo de Marta es rosa.;el/un abrigo | los/unos abrigos;llevar + (un/una/unos/unas) + [prenda];Marta lleva un abrigo rosa.;para + [evento/momento] + llevar + [prenda];Para el invierno llevo un abrigo.;(no) me gusta(n) + (los/las) + [prendas];Me gustan los abrigos largos.;COAT;MANTEAU;CASACO;MANTEL;PŁASZCZ;JAS;ΠΑΛΤΌ;PALTO;KABÁT
la;bufanda;bu-FAN-da;ROPA;#3D1A2E;#EAA095;La bufanda de Marta es roja.;la/una bufanda | las/unas bufandas;llevar + (un/una/unos/unas) + [prenda];Marta lleva una bufanda roja.;para + [evento/momento] + llevar + [prenda];Para el frío llevo una bufanda.;ser + [color];La bufanda es azul.;SCARF;ÉCHARPE;CACHECOL;SCHAL;SZALIK;SJAAL;ΚΑΣΚΌΛ;ATKI;ŠÁLA
la;camisa;ca-MI-sa;ROPA;#3D1A2E;#EAA095;El padre de Marta lleva una camisa blanca.;la/una camisa | las/unas camisas;llevar + (un/una/unos/unas) + [prenda];El padre de Marta lleva una camisa blanca.;querer + (un/una/unos/unas) + [prenda];Quiero una camisa como la del escaparate.;ser + [color];La camisa es blanca.;SHIRT;CHEMISE;CAMISA;HEMD;KOSZULA;OVERHEMD;ΠΟΥΚΆΜΙΣΟ;GÖMLEK;KOŠILE
la;camiseta;ca-mi-SE-ta;ROPA;#3D1A2E;#EAA095;Juanma lleva una camiseta naranja.;la/una camiseta | las/unas camisetas;llevar + (un/una/unos/unas) + [prenda];Juanma lleva una camiseta naranja.;ser + [color];La camiseta es roja.;(no) me gusta(n) + (los/las) + [prendas];Me gustan las camisetas cortas.;T-SHIRT;T-SHIRT;CAMISETA;T-SHIRT;KOSZULKA;T-SHIRT;ΜΠΛΟΥΖΆΚΙ;TİŞÖRT;TRIČKO
la;cazadora;ca-za-DO-ra;ROPA;#3D1A2E;#EAA095;La cazadora es marrón.;la/una cazadora | las/unas cazadoras;llevar + (un/una/unos/unas) + [prenda];Marta lleva una cazadora negra.;tener + (un/una/unos/unas) + [prenda] + (color/cualidad);Tengo una cazadora nueva.;ser + [color];La cazadora es marrón.;BOMBER JACKET;BLOUSON;BLUSÃO;BLOUSON;KURTKA;BLOUSON;ΜΠΟΥΦΆΝ;MONT;BUNDA
el;chándal;CHÁN-dal;ROPA;#3D1A2E;#95CDEA;Marta lleva un chándal verde.;el/un chándal | los/unos chándales | Plural: chándales (mantiene la tilde);llevar + (un/una/unos/unas) + [prenda];Marta lleva un chándal verde.;para + [evento/momento] + llevar + [prenda];Para el gimnasio llevo un chándal.;(no) me gusta(n) + (los/las) + [prendas];Me gusta el chándal.;TRACKSUIT;SURVÊTEMENT;AGASALHO;TRAININGSANZUG;DRES;TRAININGSPAK;ΦΌΡΜΑ;EŞOFMAN;TEPLÁKOVÁ SOUPRAVA
la;chaqueta;cha-QUE-ta;ROPA;#3D1A2E;#EAA095;Marta lleva una chaqueta.;la/una chaqueta | las/unas chaquetas;llevar + (un/una/unos/unas) + [prenda];Marta lleva una chaqueta gris.;para + [evento/momento] + llevar + [prenda];Para el otoño llevo una chaqueta.;ser + [color];La chaqueta es negra.;JACKET;VESTE;CASACO;JACKE;MARYNARKA;JASJE;ΣΑΚΆΚΙ;CEKET;SAKO
la;corbata;cor-BA-ta;ROPA;#3D1A2E;#EAA095;El padre de Marta lleva una corbata.;la/una corbata | las/unas corbatas;llevar + (un/una/unos/unas) + [prenda];El padre de Marta lleva una corbata azul.;para + [evento/momento] + llevar + [prenda];Para la fiesta lleva una corbata.;ser + [color];La corbata es roja.;TIE;CRAVATE;GRAVATA;KRAWATTE;KRAWAT;STROPDAS;ΓΡΑΒΆΤΑ;KRAVAT;KRAVATA
la;falda;FAL-da;ROPA;#3D1A2E;#EAA095;Tengo una falda corta y negra.;la/una falda | las/unas faldas;llevar + (un/una/unos/unas) + [prenda];Laura lleva una falda corta.;tener + (un/una/unos/unas) + [prenda] + (color/cualidad);Tengo una falda corta y negra.;(no) me gusta(n) + (los/las) + [prendas];Me gustan las faldas largas.;SKIRT;JUPE;SAIA;ROCK;SPÓDNICA;ROK;ΦΟΎΣΤΑ;ETEK;SUKNĚ
la;gorra;GO-rra;ROPA;#3D1A2E;#EAA095;Marta lleva una gorra naranja.;la/una gorra | las/unas gorras;llevar + (un/una/unos/unas) + [prenda];Marta lleva una gorra naranja.;ser + [color];La gorra es naranja.;(no) me gusta(n) + (los/las) + [prendas];Me gustan las gorras.;CAP;CASQUETTE;BONÉ;KAPPE;CZAPKA;PET;ΚΑΠΈΛΟ;ŞAPKA;ČEPICE
los;guantes;GUAN-tes;ROPA;#3D1A2E;#95CDEA;Para el frío llevo guantes.;el/un guante | los/unos guantes | Habitualmente en plural (par);llevar + (un/una/unos/unas) + [prenda];Marta lleva unos guantes negros.;para + [evento/momento] + llevar + [prenda];Para el frío llevo guantes.;ser + [color];Los guantes son grises.;GLOVES;GANTS;LUVAS;HANDSCHUHE;RĘKAWICZKI;HANDSCHOENEN;ΓΆΝΤΙΑ;ELDİVENLER;RUKAVICE
el;jersey;JER-sey;ROPA;#3D1A2E;#95CDEA;El jersey es amarillo.;el/un jersey | los/unos jerséis | Plural irregular: jerséis (con tilde);llevar + (un/una/unos/unas) + [prenda];Marta lleva un jersey amarillo.;ser + [color];El jersey es amarillo.;(no) me gusta(n) + (los/las) + [prendas];Me gustan los jerséis.;JUMPER;PULL;CAMISOLA;PULLOVER;SWETER;TRUI;ΠΟΥΛΌΒΕΡ;KAZAK;SVETR
los;pantalones;pan-ta-LO-nes;ROPA;#3D1A2E;#95CDEA;Quiero unos pantalones.;los/unos pantalones | Usado siempre en plural · singular raro;llevar + (un/una/unos/unas) + [prenda];Marta lleva unos pantalones azules.;querer + (un/una/unos/unas) + [prenda];Quiero unos pantalones.;ser + [color];Los pantalones son negros.;TROUSERS;PANTALON;CALÇAS;HOSE;SPODNIE;BROEK;ΠΑΝΤΕΛΌΝΙ;PANTOLON;KALHOTY
